"is_canceled","lead_time","arrival_date_week_number","arrival_date_day_of_month","arrival_date_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","required_car_parking_spaces","total_of_special_requests","avg_daily_rate","booked_by_company","booked_by_agent","hotel_City","hotel_Resort","meal_BB","meal_FB","meal_HB","meal_No_meal","market_segment_Aviation","market_segment_Complementary","market_segment_Corporate","market_segment_Direct","market_segment_Groups","market_segment_Offline_TA_TO","market_segment_Online_TA","market_segment_Undefined","distribution_channel_Corporate","distribution_channel_Direct","distribution_channel_GDS","distribution_channel_TA_TO","distribution_channel_Undefined","reserved_room_type_A","reserved_room_type_B","reserved_room_type_C","reserved_room_type_D","reserved_room_type_E","reserved_room_type_F","reserved_room_type_G","reserved_room_type_H","reserved_room_type_L","deposit_type_No_Deposit","deposit_type_Non_Refund","deposit_type_Refundable","customer_type_Contract","customer_type_Group","customer_type_Transient","customer_type_Transient-Party"
0,342,27,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,737,27,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,7,27,1,7,0,1,1,0,0,0,0,0,0,0,75,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,13,27,1,7,0,1,1,0,0,0,0,0,0,0,75,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,14,27,1,7,0,2,2,0,0,0,0,0,0,1,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,14,27,1,7,0,2,2,0,0,0,0,0,0,1,98,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,27,1,7,0,2,2,0,0,0,0,0,0,0,107,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,9,27,1,7,0,2,2,0,0,0,0,0,0,1,103,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,85,27,1,7,0,3,2,0,0,0,0,0,0,1,82,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,75,27,1,7,0,3,2,0,0,0,0,0,0,0,105.5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,23,27,1,7,0,4,2,0,0,0,0,0,0,0,123,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,35,27,1,7,0,4,2,0,0,0,0,0,0,0,145,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,68,27,1,7,0,4,2,0,0,0,0,0,0,3,97,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,18,27,1,7,0,4,2,1,0,0,0,0,0,1,154.77,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,37,27,1,7,0,4,2,0,0,0,0,0,0,0,94.71,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
